sido,sigungu,name,address,phone,rooms,coffins,parking,extras,type,map
충청남도,논산시,백제병원장례식장,충청남도 논산시 시민로294번길 14 (내동),041-735-1022,5,6,30,식당·매점·주차장,사설(병원),
경기도,안성시,경기도의료원 안성병원장례식장,"경기도 안성시 남파로 95 (당왕동, 경기도의료원안성병원)",031-8046-5044,7,12,300,식당·매점·주차장·유족대기실·장애인편의시설,공설(병원),
서울특별시,강남구,삼성서울병원장례식장,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",02-3410-3151,14,26,425,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경기도,동두천시,동두천중앙성모장례식장,경기도 동두천시 동광로 53 (생연동),031-862-4949,3,6,0,,사설(전문),
경기도,수원시,수원시연화장장례식장,경기도 수원시 영통구 광교호수로 278 (하동),031-218-6500,12,18,453,식당·매점·주차장·유족대기실,공설(전문),
충청남도,서산시,서산시중앙병원장례식장,충청남도 서산시 수석산업로 5 (수석동),041-669-1414,5,10,0,식당·매점·주차장·유족대기실,사설(병원),
경상북도,청도군,청도대남병원장례식장,경상북도 청도군 화양읍 청화로 79-7 (범곡리),054-372-3560,4,6,150,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
전라남도,구례군,구례병원장례식장,전라남도 구례군 구례읍 동편제길 4 (봉북리),061-783-4344,3,6,80,식당·주차장·유족대기실,사설(병원),
부산광역시,서구,고신대병원 장례식장,"부산광역시 서구 감천로 262 (암남동, 고신대학교복음병원)",051-990-6444,8,14,0,,사설(병원),
경상남도,고성군,고성제일요양병원장례식장,경상남도 고성군 고성읍 남해안대로 2514 (율대리),055-804-8400,3,6,150,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
전라남도,영광군,영광종합병원장례식장,전라남도 영광군 영광읍 와룡로 3 (단주리),061-350-8044,4,4,100,식당·주차장·유족대기실·장애인편의시설,사설(병원),
서울특별시,용산구,순천향서울장례식장,"서울특별시 용산구 대사관로 59 (한남동, 순천향대학병원)",02-797-4444,8,14,130,,사설(병원),
부산광역시,수영구,BHS한서병원장례식장,부산광역시 수영구 수영로 615 (광안동),051-751-1860,4,10,0,매점·주차장·유족대기실,사설(병원),
대구광역시,남구,영남대학교의료원 장례식장,대구광역시 남구 현충로 170 (대명동),053-620-4670,9,18,1475,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
충청북도,청주시 상당구,청주시장례식장,충청북도 청주시 상당구 목련로 731 (월오동),043-291-4444,5,16,0,식당·매점·주차장·유족대기실,공설(전문),
전라남도,함평군,함평농협장례식장,전라남도 함평군 함평읍 남일길 238-71 (대덕리),061-323-4444,4,8,50,주차장·유족대기실,사설(전문),
경기도,광주시,경안장례식장,경기도 광주시 경충대로 1744 (역동),031-769-0444,4,10,0,,사설(전문),
경상북도,상주시,상주성모병원 장례식장,경상북도 상주시 냉림서성길 7 (냉림동),054-535-6000,2,6,0,식당·매점·주차장·유족대기실,사설(병원),
경상남도,창원시 의창구,창원시 의창구행복한병원장례식장,"경상남도 창원시 의창구 북면 천주로 785,행복한병원장례식장 (동전리, 행복한병원)",055-255-0220,3,6,70,식당·매점·주차장·유족대기실,사설(병원),
울산광역시,울주군,울산하늘공원 장례식장,울산광역시 울주군 삼동면 보삼길 550 (조일리),052-255-3800,5,34,419,식당·매점·주차장·유족대기실·장애인편의시설,공설(전문),
전라남도,장성군,장성병원장례식장,전라남도 장성군 장성읍 역전로 171 (영천리),061-393-4444,3,4,100,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
대구광역시,서구,웰니스1004병원장례식장,대구광역시 서구 달구벌대로 1889 (내당동),053-522-0444,3,6,80,식당·매점·주차장·유족대기실,사설(병원),
경상북도,영양군,영양전문장례식장,경상북도 영양군 영양읍 중앙로 281 (동부리),054-682-4700,3,4,70,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
경상북도,구미시,고아농협 장례문화원장례식장,경상북도 구미시 고아읍 오로4길 112 (오로리),054-482-7411,3,6,250,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
전라남도,곡성군,곡성군우리장례식장,전라남도 곡성군 옥과면 천변로 83 (율사리),061-362-6666,3,4,150,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
경기도,화성시,교원예움 화성장례식장,경기도 화성시 마도면 쌍송북로 111 (두곡리),031-355-8000,4,8,150,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
서울특별시,영등포구,신화장례식장,"서울특별시 영등포구 영중로 100 (영등포동7가, 신화요양병원)",02-2679-1122,5,8,100,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
경기도,시흥시,신천제일병원장례식장,경기도 시흥시 호현로10번길 7-1 (신천동),031-318-9444,3,4,36,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
강원특별자치도,양구군,양구군장례식장,강원도 양구군 양구읍 금강산로 518-25 (하리),033-480-2576,4,6,0,,공설(전문),
경기도,성남시,태평서울병원소망장례식장,"경기도 성남시 수정구 성남대로 1219 B01 (수진동, 새소망병원)",031-751-3344,4,6,20,식당·매점·주차장,사설(병원),
경상북도,울릉군,울릉군보건의료원장례식장,경상북도 울릉군 울릉읍 울릉순환로 396-18 (도동리),054-790-6871,3,6,0,,공설(병원),
인천광역시,연수구,인천적십자병원장례식장,"인천광역시 연수구 원인재로 263 (연수동,인천적십자병원장례식장)",032-822-1234,9,12,300,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경상북도,경산시,서요양병원장례식장,"경상북도 경산시 계양로 193 (계양동, 서병원)",053-817-4444,3,4,0,,사설(병원),
전라남도,고흥군,녹동농협 장례식장,전라남도 고흥군 도양읍 거금로 80 (봉암리),061-840-7777,2,4,0,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
전북특별자치도,전주시 완산구,엠마오사랑병원장례식장,전라북도 전주시 완산구 서원로 402-35 (중화산동1가),063-285-4411,2,4,100,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경기도,광주시,곤지암농협장례문화원장례식장,경기도 광주시 곤지암읍 경충대로 784-64 (삼리),031-798-9750,4,8,150,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
강원특별자치도,원주시,고색의료재단 장례식장,강원도 원주시 북원로 2636 (태장동),033-732-4670,2,6,40,주차장·유족대기실,사설(병원),
서울특별시,서대문구,동신병원장례식장,서울특별시 서대문구 연희로 272 (홍은동),02-395-1024,3,10,80,주차장,사설(병원),
대구광역시,서구,대구의료원 국화원 장례식장,"대구광역시 서구 평리로 157 (중리동, 대구의료원)",053-560-9552,10,16,140,식당·매점·주차장·유족대기실·장애인편의시설,공설(병원),
경상남도,김해시,현대병원장례식장,경상남도 김해시 구산로 23 (구산동),055-331-0036,3,4,0,식당·매점·주차장·유족대기실,사설(병원),
서울특별시,광진구,혜민병원장례식장,서울특별시 광진구 자양로 85 (자양동),02-444-1552,4,8,32,식당·매점·주차장·유족대기실,사설(전문),
강원특별자치도,원주시,수장례식장,"강원도 원주시 문막읍 원문로 1419 (동화리, 연세메디하임병원)",033-745-4440,4,4,100,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경기도,평택시,교원예움 평택장례식장,"경기도 평택시 신평로 205, (구)평택장례문화원  (군문동)",031-652-0404,9,12,250,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
경상남도,창원시 마산회원구,영락원전문장례식장,경상남도 창원시 마산회원구 봉양로 152 (봉암동),055-292-4444,7,8,0,주차장,사설(전문),
충청북도,청주시 서원구,참사랑병원장례식장,충청북도 청주시 서원구 청남로 1910 (미평동),043-298-9200,8,10,1000,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
강원특별자치도,동해시,동해동인병원장례식장,"강원도 동해시 하평로 26 (평릉동, 동인병원)",033-530-0441,3,4,40,주차장,사설(병원),
충청남도,금산군,새금산병원장례식장,충청남도 금산군 금산읍 금산로 1279 (하옥리),041-754-4474,4,6,80,주차장,사설(전문),
서울특별시,광진구,건국대학교병원장례식장,서울특별시 광진구 능동로 120-1 (화양동),02-2030-7900,9,17,680,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
대전광역시,서구,대전을지대학교병원장례식장,"대전광역시 서구 둔산서로 95 (둔산동, 을지대학병원)",042-611-3980,8,18,0,식당·매점·주차장·유족대기실,사설(병원),
경기도,안성시,성혜원장례식장,"경기도 안성시 남파로 169, B1층 (당왕동, 안성성요셉병원)",031-671-6500,6,12,200,식당·매점·주차장·유족대기실,사설(병원),
경상북도,영주시,청하요양병원장례식장,경상북도 영주시 신재로24번길 91 (가흥동),054-634-0444,3,4,100,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
대구광역시,중구,계명대학교대구동산병원장례식장,"대구광역시 중구 달성로 56 (동산동, 계명대학교동산의료원)",053-250-8451,5,12,0,식당·매점·주차장,사설(병원),
경기도,용인시,다보스병원장례식장,"경기도 용인시 처인구 백옥대로1082번길 18, B1층 (김량장동, 다보스종합병원)",031-323-4444,5,10,500,식당·매점·주차장·유족대기실,사설(병원),
경기도,포천시,포천시우리병원장례식장,경기도 포천시 소흘읍 호국로 661 (송우리),031-542-0444,4,12,150,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
강원특별자치도,춘천시,호반병원장례식장,강원도 춘천시 옛경춘로 663 (삼천동),033-252-0046,6,8,300,주차장·유족대기실,사설(병원),
인천광역시,남동구,인천힘찬종합병원장례식장,"인천광역시 남동구 논현로 72,지하1층 (논현동, 힘찬종합병원)",032-421-3000,7,10,270,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경기도,광명시,예지원장례식장,"경기도 광명시 광명로 844, B1층 (광명동, 예지원요양병원)",02-2060-4444,4,8,150,주차장,사설(병원),
제주특별자치도,제주시,한림정낭장례식장,제주특별자치도 제주시 한림읍 명랑로 76 (한림리),064-796-9644,3,6,140,주차장·유족대기실,사설(전문),
경상남도,거제시,굿뉴스요양병원장례식장,"경상남도 거제시 거제면 거제남서로 3554 (서정리, 굿뉴스병원)",055-633-0844,2,4,70,식당·매점·주차장·유족대기실,사설(병원),
경상남도,창원시 진해구,연세에스병원장례식장,경상남도 창원시 진해구 해원로32번길 13 (이동),055-548-7759,7,6,0,매점·주차장·유족대기실,사설(병원),
경기도,오산시,오산장례문화원장례식장,경기도 오산시 경기동로 125 (부산동),031-375-1100,8,10,300,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
부산광역시,사하구,사하구민장례식장,부산광역시 사하구 하신중앙로17번길 25 (장림동),051-715-4441,5,8,60,식당·주차장·유족대기실·장애인편의시설,사설(전문),
전북특별자치도,전주시 덕진구,온고을장례식장,전라북도 전주시 덕진구 온고을로 438-2 (만성동),063-211-5000,5,8,250,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
경상북도,경주시,경주시시민장례식장,경상북도 경주시 화랑로 40 (성건동),054-775-4443,3,6,100,주차장·유족대기실,사설(전문),
인천광역시,동구,청기와장례식장 송림점,인천광역시 동구 방축로177번길 23 (송림동),032-583-4444,11,17,300,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
경상남도,거창군,거창적십자병원장례식장,"경상남도 거창군 거창읍 중앙로 91 (상림리, 거창적십자병원)",055-944-4482,3,4,0,매점·주차장·유족대기실,사설(병원),
경기도,양주시,광적장례식장,경기도 양주시 광적면 부흥로 887 (가납리),031-876-4449,3,6,0,식당·매점·주차장·유족대기실,사설(전문),
경기도,시흥시,시화병원장례식장,"경기도 시흥시 군자천로 381-1 (정왕동, 시화병원)",031-431-4444,7,12,1000,식당·주차장·유족대기실·장애인편의시설,사설(병원),
강원특별자치도,원주시,하늘원장례식장,강원도 원주시 흥업면 사제로 539 (사제리),033-763-4444,3,10,300,식당·매점·주차장·유족대기실,사설(전문),
경상남도,진주시,엠마우스병원 장례식장,경상남도 진주시 남강로 25 (평거동),055-745-4444,3,6,150,주차장·유족대기실,사설(병원),
강원특별자치도,강릉시,주문진장례식장,강원도 강릉시 주문진읍 연주로 448-5 (주문리),033-662-4440,2,4,50,주차장·유족대기실·장애인편의시설,사설(전문),
경기도,안산시,국화향기장례식장,경기도 안산시 상록구 구룡로 87 (일동),031-501-4646,4,6,300,주차장,사설(병원),
충청북도,제천시,제천노인병원장례식장,"충청북도 제천시 북부로13길 94 (천남동, 제천병원)",043-651-4444,2,4,100,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
