시설종류,시도,시군구,시설명,주소,전화번호,팩스번호,홈페이지,주차대수,공설/사설,화장로수,식당,매점,주차장,유족대기실,장애인편의시설
화장시설,충청남도,천안시,천안추모공원,"충청남도 천안시 동남구 광덕면 밤나무골길 38 (원덕리, 천안추모공원)",041-529-5141,041-557-4280,www.cauc.or.kr/_chpark/,400,공설,9,설치,미설치,설치,설치,설치
화장시설,강원특별자치도,속초시,속초시승화원,강원특별자치도 속초시 이목로 194 (노학동),033-635-7023,033-635-5023,www.sokchosiseol.or.kr/biz/welfare.do,10,공설,3,설치,설치,설치,설치,미설치
화장시설,강원특별자치도,춘천시,춘천안식원,강원도 춘천시 동산면 종자리로 331-21 (군자리),033-261-7314,033-261-7315,ccansikwon.co.kr,88,공설,7,설치,설치,설치,설치,설치
화장시설,전북특별자치도,남원시,남원시승화원,전북특별자치도 남원시 솔터길 40-36 (광치동),063-632-5874,063-625-6130,www.namwon.go.kr/index.do?menuCd=DOM_000000203001005000,10,공설,5,미설치,미설치,설치,설치,미설치
화장시설,경상북도,상주시,상주시승천원,경상북도 상주시 병성천2길 560 (병성동),054-537-7926,054-534-8045,www.sangju.go.kr/page/3181/2359.tc,44,공설,3,설치,설치,설치,설치,설치
화장시설,경상남도,사천시,사천시 누리원(화장시설),경상남도 사천시 해안관광로 208-66 (송포동),055-831-4590,055-831-6529,https://www.youthsacheon.com/funeral_main.html,10,공설,4,설치,미설치,설치,설치,미설치
화장시설,경상남도,남해군,남해추모누리 영화원,"경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)",055-860-3681,055-860-3881,www.namhae.go.kr/depart/Index.do?c=DE0106010100&pageCd=DE0106010000&siteGubun=depart,50,공설,3,설치,설치,설치,설치,설치
화장시설,경상남도,창원시,창원시립상복공원,경상남도 창원시 성산구 공단로474번길 160,055-712-0920,055-712-0909,www.cwsisul.or.kr/_sangbok/index.php,450,공설,8,설치,설치,설치,설치,설치
화장시설,전라남도,순천시,순천시립추모공원,"전라남도 순천시 양율길 132 (야흥동, 유택동산,화장장,봉안당)",061-749-6168,061-749-4644,null,310,공설,5,미설치,설치,설치,설치,미설치
화장시설,경상북도,경주시,경주하늘마루,경상북도 경주시 서면 하늘마루길 330 (도리),054-779-8547,054-760-7545,www.gyeongju.go.kr/area/page.do?mnu_uid=1290,281,공설,9,설치,설치,설치,설치,미설치
화장시설,부산광역시,금정구,부산영락공원,"부산광역시 금정구 금정도서관로 108 (두구동, 영락공원)",051-790-5000,051-508-6024,www.bisco.or.kr/yeongnakpark/index.asp,200,공설,15,설치,설치,설치,설치,미설치
화장시설,충청북도,청주시,청주시목련공원,"충청북도 청주시 상당구 목련로 731 (월오동,목련공원)",043-270-8578,043-201-1948,www.cjsisul.or.kr/home/sub.do?menukey=254,181,공설,11,설치,설치,설치,설치,설치
화장시설,전라남도,여수시,승화원(화장장),전라남도 여수시 소라면 의곡길 494,061-659-1795,061-659-5889,www.yeosu.go.kr/www/sphere/welfare/funeral/public/crematorium,67,공설,5,미설치,설치,설치,설치,설치
화장시설,전라남도,고흥군,국립소록도병원화장장,전남 고흥군 도양읍 소록리 1번지,061-840-0586,061-840-0517,www.sorokdo.go.kr,null,공설,0,설치,설치,설치,미설치,미설치
화장시설,충청북도,제천시,제천시영원한쉼터,충청북도 제천시 송학면 송학주천로9길 122 (포전리),043-644-6613,043-642-0240,www.okjc.net/welfare/contents.do?key=771,150,공설,4,미설치,설치,설치,설치,설치
화장시설,경상북도,울진군,울진군립추모원,경상북도 울진군 울진읍 대흥신림로 1046-280 (신림리),054-789-6109,054-789-3640,www.uljin.go.kr/index.uljin?menuCd=DOM_000000105012001001,26,공설,3,미설치,미설치,미설치,미설치,미설치
화장시설,경상북도,안동시,안동장사문화공원,경상북도 안동시 풍천면 운골길 205 (도양리),054-850-4780,054-859-1229,memorial.andongsisul.or.kr/,81,공설,5,설치,설치,설치,설치,미설치
화장시설,강원특별자치도,태백시,태백시화장장,강원 태백시 백두대간로 844 (창죽동 26-5),033-806-5076,033-550-2961,www.taebaek.go.kr/www/contents.do?key=435,50,공설,3,미설치,설치,설치,설치,미설치
